=== 01: baseline (Sprint 26 Day 5 t=96 default) ===
# nd_base_threshold=96, factor=no
matrix,n,reorder,nnz_L,reorder_ms,factor_ms
Kuu,7102,COLAMD,830665,3763.3,skip
Kuu,7102,ND,752431,6854.3,skip
bcsstk14,1806,NONE,190791,0.0,skip
bcsstk14,1806,RCM,178311,10.9,skip
bcsstk14,1806,AMD,116071,94.9,skip
bcsstk14,1806,COLAMD,146037,162.4,skip
bcsstk14,1806,ND,132699,1201.4,skip
s3rmt3m3,5357,NONE,2208972,0.0,skip
s3rmt3m3,5357,RCM,636993,29.1,skip
s3rmt3m3,5357,AMD,474609,560.3,skip
s3rmt3m3,5357,COLAMD,607647,1065.6,skip
s3rmt3m3,5357,ND,484257,6138.2,skip
Pres_Poisson,14822,NONE,5061932,0.0,skip
Pres_Poisson,14822,RCM,3187081,133.1,skip
Pres_Poisson,14822,AMD,2668793,6239.2,skip
Pres_Poisson,14822,COLAMD,3415793,13011.9,skip
Pres_Poisson,14822,ND,2583021,11996.0,skip

=== 10: full Sprint-26-max (everything on) ===
# nd_base_threshold=96, factor=no
matrix,n,reorder,nnz_L,reorder_ms,factor_ms
nos4,100,NONE,805,0.0,skip
nos4,100,RCM,888,0.1,skip
nos4,100,AMD,637,0.2,skip
nos4,100,COLAMD,778,0.4,skip
nos4,100,ND,748,1.4,skip
bcsstk04,132,NONE,3763,0.0,skip
bcsstk04,132,RCM,3633,0.7,skip
bcsstk04,132,AMD,3143,1.6,skip
bcsstk04,132,COLAMD,3622,2.7,skip
bcsstk04,132,ND,3700,3.5,skip
Kuu,7102,NONE,2993061,0.0,skip
Kuu,7102,RCM,1024794,57.3,skip
Kuu,7102,AMD,406264,421.4,skip
Kuu,7102,COLAMD,830665,3474.4,skip
Kuu,7102,ND,488935,688.6,skip
bcsstk14,1806,NONE,190791,0.0,skip
bcsstk14,1806,RCM,178311,10.4,skip
bcsstk14,1806,AMD,116071,88.8,skip
bcsstk14,1806,COLAMD,146037,149.6,skip
bcsstk14,1806,ND,121845,128.4,skip
s3rmt3m3,5357,NONE,2208972,0.0,skip
s3rmt3m3,5357,RCM,636993,27.3,skip
s3rmt3m3,5357,AMD,474609,538.6,skip
s3rmt3m3,5357,COLAMD,607647,994.7,skip
s3rmt3m3,5357,ND,476894,383.9,skip
Pres_Poisson,14822,NONE,5061932,0.0,skip
Pres_Poisson,14822,RCM,3187081,123.7,skip
Pres_Poisson,14822,AMD,2668793,5934.4,skip
Pres_Poisson,14822,COLAMD,3415793,12214.3,skip
Pres_Poisson,14822,ND,2530967,1727.9,skip

=== 11: HCC alone (Day 3 sep=0 fix verification) ===
# nd_base_threshold=96, factor=no
matrix,n,reorder,nnz_L,reorder_ms,factor_ms
nos4,100,NONE,805,0.0,skip
nos4,100,RCM,888,0.1,skip
nos4,100,AMD,637,0.2,skip
nos4,100,COLAMD,778,0.3,skip
nos4,100,ND,887,127.0,skip
bcsstk04,132,NONE,3763,0.0,skip
bcsstk04,132,RCM,3633,0.6,skip
bcsstk04,132,AMD,3143,1.7,skip
bcsstk04,132,COLAMD,3622,2.7,skip
bcsstk04,132,ND,3717,287.1,skip
Kuu,7102,NONE,2993061,0.0,skip
Kuu,7102,RCM,1024794,52.3,skip
Kuu,7102,AMD,406264,397.7,skip
Kuu,7102,COLAMD,830665,3383.1,skip
Kuu,7102,ND,940582,5248.7,skip
bcsstk14,1806,NONE,190791,0.0,skip
bcsstk14,1806,RCM,178311,10.2,skip
bcsstk14,1806,AMD,116071,89.1,skip
bcsstk14,1806,COLAMD,146037,151.2,skip
bcsstk14,1806,ND,125032,793.7,skip
s3rmt3m3,5357,NONE,2208972,0.0,skip
s3rmt3m3,5357,RCM,636993,28.0,skip
s3rmt3m3,5357,AMD,474609,523.7,skip
s3rmt3m3,5357,COLAMD,607647,982.8,skip
s3rmt3m3,5357,ND,482669,3587.0,skip
Pres_Poisson,14822,NONE,5061932,0.0,skip
Pres_Poisson,14822,RCM,3187081,122.4,skip
Pres_Poisson,14822,AMD,2668793,5872.4,skip
Pres_Poisson,14822,COLAMD,3415793,12104.9,skip
Pres_Poisson,14822,ND,2497108,7879.4,skip

=== 12: per_vertex_balance alone ===
# nd_base_threshold=96, factor=no
matrix,n,reorder,nnz_L,reorder_ms,factor_ms
nos4,100,NONE,805,0.0,skip
nos4,100,RCM,888,0.1,skip
nos4,100,AMD,637,0.2,skip
nos4,100,COLAMD,778,0.3,skip
nos4,100,ND,765,52.1,skip
bcsstk04,132,NONE,3763,0.0,skip
bcsstk04,132,RCM,3633,0.6,skip
bcsstk04,132,AMD,3143,1.5,skip
bcsstk04,132,COLAMD,3622,2.6,skip
bcsstk04,132,ND,3549,148.7,skip
Kuu,7102,NONE,2993061,0.0,skip
Kuu,7102,RCM,1024794,51.8,skip
Kuu,7102,AMD,406264,398.9,skip
Kuu,7102,COLAMD,830665,3582.6,skip
Kuu,7102,ND,705728,4299.0,skip
bcsstk14,1806,NONE,190791,0.0,skip
bcsstk14,1806,RCM,178311,10.8,skip
bcsstk14,1806,AMD,116071,95.0,skip
bcsstk14,1806,COLAMD,146037,159.0,skip
bcsstk14,1806,ND,151049,1003.2,skip
s3rmt3m3,5357,NONE,2208972,0.0,skip
s3rmt3m3,5357,RCM,636993,30.1,skip
s3rmt3m3,5357,AMD,474609,568.5,skip
s3rmt3m3,5357,COLAMD,607647,1100.8,skip
s3rmt3m3,5357,ND,614153,2078.5,skip
Pres_Poisson,14822,NONE,5061932,0.0,skip
Pres_Poisson,14822,RCM,3187081,129.8,skip
Pres_Poisson,14822,AMD,2668793,6236.3,skip
Pres_Poisson,14822,COLAMD,3415793,12808.5,skip
Pres_Poisson,14822,ND,3312433,7224.4,skip

