=== 01: baseline (Sprint 26 t=96 default) ===
# nd_base_threshold=96, factor=no
matrix,n,reorder,nnz_L,reorder_ms,factor_ms
bcsstk04,132,NONE,3763,0.0,skip
bcsstk04,132,RCM,3633,0.7,skip
bcsstk04,132,AMD,3143,1.9,skip
bcsstk04,132,COLAMD,3622,3.0,skip
bcsstk04,132,ND,3700,3.4,skip
Kuu,7102,NONE,2993061,0.0,skip
Kuu,7102,RCM,1024794,56.8,skip
Kuu,7102,AMD,406264,553.4,skip
Kuu,7102,COLAMD,830665,3778.5,skip
Kuu,7102,ND,610509,635.2,skip
bcsstk14,1806,NONE,190791,0.0,skip
bcsstk14,1806,RCM,178311,13.0,skip
bcsstk14,1806,AMD,116071,127.6,skip
bcsstk14,1806,COLAMD,146037,165.1,skip
bcsstk14,1806,ND,120650,138.2,skip
s3rmt3m3,5357,NONE,2208972,0.0,skip
s3rmt3m3,5357,RCM,636993,30.0,skip
s3rmt3m3,5357,AMD,474609,790.8,skip
s3rmt3m3,5357,COLAMD,607647,1079.3,skip
s3rmt3m3,5357,ND,481479,375.9,skip
Pres_Poisson,14822,NONE,5061932,0.0,skip
Pres_Poisson,14822,RCM,3187081,134.1,skip
Pres_Poisson,14822,AMD,2668793,8439.2,skip
Pres_Poisson,14822,COLAMD,3415793,13254.8,skip
Pres_Poisson,14822,ND,2488715,1661.4,skip

